sample	call	mashcall
Yale-RSV-0183		RSVB
Yale-RSV-0185		RSVB
Yale-RSV-0186		RSVB
Yale-RSV-0188		RSVB
Yale-RSV-0193		RSVB
Yale-RSV-0194		RSVB
Yale-RSV-0195		RSVB
Yale-RSV-0196		RSVB
Yale-RSV-0197		RSVB
Yale-RSV-0198		RSVB
Yale-RSV-0199		RSVB
Yale-RSV-0200		RSVB
Yale-RSV-0201		RSVB
Yale-RSV-0203		RSVB
Yale-RSV-0204		RSVB
Yale-RSV-0205		RSVB
Yale-RSV-0206		RSVB
Yale-RSV-0207		RSVB
Yale-RSV-0209		RSVB
Yale-RSV-0210		RSVB
Yale-RSV-0211		RSVB
Yale-RSV-0212		RSVB
Yale-RSV-0213		RSVB
Yale-RSV-0215		RSVB
Yale-RSV-0217		RSVB
Yale-RSV-0218		RSVB
Yale-RSV-0219		RSVB
Yale-RSV-0220		RSVB
Yale-RSV-0223		RSVB
Yale-RSV-0225		RSVB
Yale-RSV-0226		RSVB
Yale-RSV-0227		RSVB
Yale-RSV-0229		RSVB
Yale-RSV-0230		RSVB
Yale-RSV-0233		RSVB
Yale-RSV-0236		RSVB
Yale-RSV-0238		RSVB
Yale-RSV-0239		RSVB
Yale-RSV-0241		RSVB
Yale-RSV-0242		RSVB
Yale-RSV-0243		RSVB
Yale-RSV-0246		RSVB
Yale-RSV-0248		RSVB
Yale-RSV-0249		RSVB
Yale-RSV-0253		RSVB
Yale-RSV-0255		RSVB
Yale-RSV-0256		RSVB
Yale-RSV-0257		RSVB
Yale-RSV-0261		RSVB
Yale-RSV-0263		RSVB
Yale-RSV-0264		RSVB
Yale-RSV-0265		RSVB
Yale-RSV-0267		RSVB
Yale-RSV-0268		RSVB
Yale-RSV-0270		RSVB
Yale-RSV-0273		RSVB
Yale-RSV-0274		RSVB
Yale-RSV-0275		RSVB
Yale-RSV-0276		RSVB
Yale-RSV-0278		RSVB
Yale-RSV-0280		RSVB
Yale-RSV-0282		RSVB
Yale-RSV-0283		RSVB
Yale-RSV-0284		RSVB
Yale-RSV-0285		RSVB
Yale-RSV-0289		RSVB
Yale-RSV-0291		RSVB
Yale-RSV-0293		RSVB
Yale-RSV-0295		RSVB
Yale-RSV-0296		RSVB
Yale-RSV-0298		RSVB
Yale-RSV-0299		RSVB
Yale-RSV-0300		RSVB
Yale-RSV-0302		RSVB
Yale-RSV-0303		RSVB
Yale-RSV-0305		RSVB
Yale-RSV-0306		RSVB
Yale-RSV-0308		RSVB
Yale-RSV-0310		RSVB
Yale-RSV-0312		RSVB
Yale-RSV-0313		RSVB
Yale-RSV-0315		RSVB
Yale-RSV-0317		RSVB
Yale-RSV-0318		RSVB
Yale-RSV-0319		RSVB
Yale-RSV-0320		RSVB
Yale-RSV-0321		RSVB
Yale-RSV-0322		RSVB
Yale-RSV-0323		RSVB
Yale-RSV-0324		RSVB
Yale-RSV-0325		RSVB
Yale-RSV-0326		RSVB
Yale-RSV-0327		RSVB
Yale-RSV-0329		RSVB
Yale-RSV-0331		RSVB
Yale-RSV-0333		RSVB
Yale-RSV-0335		RSVB
Yale-RSV-0336		RSVB
Yale-RSV-0338		RSVB
Yale-RSV-0339		RSVB
Yale-RSV-0340		RSVB
Yale-RSV-0341		RSVB
Yale-RSV-0342		RSVB
Yale-RSV-0343		RSVB
Yale-RSV-0347		RSVB
Yale-RSV-0350		RSVB
Yale-RSV-0351		RSVB
Yale-RSV-0352		RSVB
Yale-RSV-0353		RSVB
Yale-RSV-0355		RSVB
Yale-RSV-0356		RSVB
Yale-RSV-0358		RSVB
Yale-RSV-0359		RSVB
Yale-RSV-0360		RSVB
Yale-RSV-0362		RSVB
Yale-RSV-0363		RSVB
Yale-RSV-0364		RSVB
Yale-RSV-0366		RSVB
Yale-RSV-0368		RSVB
Yale-RSV-0369		RSVB
Yale-RSV-0371		RSVB
Yale-RSV-0372		RSVB
Yale-RSV-0374		RSVB
Yale-RSV-0375		RSVB
Yale-RSV-0378		RSVB
Yale-RSV-0379		RSVB
Yale-RSV-0381		RSVB
Yale-RSV-0386		RSVB
Yale-RSV-0392		RSVB
Yale-RSV-0398		RSVB
Yale-RSV-0402		RSVB
Yale-RSV-0407		RSVB
Yale-RSV-0409		RSVB
Yale-RSV-0410		RSVB
Yale-RSV-0417		RSVB
Yale-RSV-0418		RSVB
Yale-RSV-0424		RSVB
Yale-RSV-0426		RSVB
Yale-RSV-0427		RSVB
Yale-RSV-0430		RSVB
Yale-RSV-0431		RSVB
Yale-RSV-0433		RSVB
Yale-RSV-0440		RSVB
Yale-RSV-0443		RSVB
Yale-RSV-0450		RSVB
Yale-RSV-0453		RSVB
Yale-RSV-0454		RSVB
Yale-RSV-0458		RSVB
Yale-RSV-0473		RSVB
Yale-RSV-0477		RSVB
Yale-RSV-0482		RSVB
Yale-RSV-0483		RSVB
Yale-RSV-0484		RSVB
Yale-RSV-0485		RSVB
Yale-RSV-0486		RSVB
Yale-RSV-0487		RSVB
Yale-RSV-0488		RSVB
Yale-RSV-0490		RSVB
Yale-RSV-0492		RSVB
Yale-RSV-0494		RSVB
Yale-RSV-0495		RSVB
Yale-RSV-0497		RSVB
Yale-RSV-0499		RSVB
Yale-RSV-0500		RSVB
Yale-RSV-0501		RSVB
Yale-RSV-0502		RSVB
Yale-RSV-0504		RSVB
Yale-RSV-0506		RSVB
Yale-RSV-0508		RSVB
Yale-RSV-0510		RSVB
Yale-RSV-0511		RSVB
Yale-RSV-0514		RSVB
Yale-RSV-0517		RSVB
Yale-RSV-0518		RSVB
Yale-RSV-0519		RSVB
Yale-RSV-0520		RSVB
Yale-RSV-0521		RSVB
Yale-RSV-0522		RSVB
Yale-RSV-0523		RSVB
Yale-RSV-0524		RSVB
Yale-RSV-0525		RSVB
Yale-RSV-0527		RSVB
Yale-RSV-0528		RSVB
Yale-RSV-0529		RSVB
Yale-RSV-0531		RSVB
Yale-RSV-0532		RSVB
Yale-RSV-0534		RSVB
Yale-RSV-0536		RSVB
Yale-RSV-0539		RSVB
Yale-RSV-0542		RSVB
Yale-RSV-0544		RSVB
Yale-RSV-0545		RSVB
Yale-RSV-0546		RSVB
Yale-RSV-0547		RSVB
Yale-RSV-0548		RSVB
Yale-RSV-0549		RSVB
Yale-RSV-0550		RSVB
Yale-RSV-0551		RSVB
Yale-RSV-0552		RSVB
Yale-RSV-0554		RSVB
Yale-RSV-0560		RSVB
Yale-RSV-0561		RSVB
Yale-RSV-0567		RSVB
Yale-RSV-0568		RSVB
Yale-RSV-0569		RSVB
Yale-RSV-0570		RSVB
Yale-RSV-0572		RSVB
Yale-RSV-0576		RSVB
