submissionId	country	date	genotype	season	switchseason	switch	seltype
KX655700.1	Jordan	2013-02-11	RSVB	2012-2013	2012-2013	RSVA->RSVB	replication
OK664839.1	Senegal	2013-02-13	RSVA	2013	2013	RSVB->RSVA	replication
KX655641.1	Jordan	2013-02-14	RSVB	2012-2013	2012-2013	RSVA->RSVB	replication
KX655626.1	Jordan	2013-02-17	RSVA	2012-2013	2012-2013	RSVA->RSVB	evasion
MK109788.1	Jordan	2013-02-18	RSVB	2012-2013	2012-2013	RSVA->RSVB	replication
KX655645.1	Jordan	2013-02-20	RSVB	2012-2013	2012-2013	RSVA->RSVB	replication
KX655642.1	Jordan	2013-02-21	RSVB	2012-2013	2012-2013	RSVA->RSVB	replication
MK109780.1	Jordan	2013-02-24	RSVB	2012-2013	2012-2013	RSVA->RSVB	replication
KX655674.1	Jordan	2013-02-26	RSVB	2012-2013	2012-2013	RSVA->RSVB	replication
OK664837.1	Senegal	2013-03-01	RSVA	2013	2013	RSVB->RSVA	replication
KX655683.1	Jordan	2013-03-03	RSVB	2012-2013	2012-2013	RSVA->RSVB	replication
MK109771.1	Jordan	2013-03-10	RSVB	2012-2013	2012-2013	RSVA->RSVB	replication
MK109764.1	Jordan	2013-03-11	RSVB	2012-2013	2012-2013	RSVA->RSVB	replication
KX655681.1	Jordan	2013-03-13	RSVB	2012-2013	2012-2013	RSVA->RSVB	replication
KX655649.1	Jordan	2013-03-13	RSVB	2012-2013	2012-2013	RSVA->RSVB	replication
OK664838.1	Senegal	2013-03-14	RSVA	2013	2013	RSVB->RSVA	replication
KX655661.1	Jordan	2013-03-17	RSVB	2012-2013	2012-2013	RSVA->RSVB	replication
MK109767.1	Jordan	2013-03-18	RSVB	2012-2013	2012-2013	RSVA->RSVB	replication
MK109766.1	Jordan	2013-03-25	RSVB	2012-2013	2012-2013	RSVA->RSVB	replication
KX655665.1	Jordan	2013-03-26	RSVA	2012-2013	2012-2013	RSVA->RSVB	evasion
KX655693.1	Jordan	2013-03-27	RSVB	2012-2013	2012-2013	RSVA->RSVB	replication
KY328043.1	Thailand	2013-07-01	RSVA	2013	2013	RSVA->RSVB	evasion
KY327994.1	Thailand	2013-07-01	RSVA	2013	2013	RSVA->RSVB	evasion
KY328128.1	Thailand	2013-07-01	RSVB	2013	2013	RSVA->RSVB	replication
KY328125.1	Thailand	2013-07-01	RSVB	2013	2013	RSVA->RSVB	replication
KY911052.1	Ghana	2013-07-04	RSVB	2013	2014	RSVB->RSVA	evasion_l
KY911047.1	Ghana	2013-07-04	RSVB	2013	2014	RSVB->RSVA	evasion_l
KY911040.1	Ghana	2013-07-10	RSVB	2013	2014	RSVB->RSVA	evasion_l
KY911051.1	Ghana	2013-07-11	RSVB	2013	2014	RSVB->RSVA	evasion_l
KY911036.1	Ghana	2013-07-16	RSVB	2013	2014	RSVB->RSVA	evasion_l
KY911021.1	Ghana	2013-07-18	RSVB	2013	2014	RSVB->RSVA	evasion_l
KY911056.1	Ghana	2013-07-23	RSVB	2013	2014	RSVB->RSVA	evasion_l
KY911048.1	Ghana	2013-07-30	RSVB	2013	2014	RSVB->RSVA	evasion_l
KY911038.1	Ghana	2013-08-01	RSVB	2013	2014	RSVB->RSVA	evasion_l
KY328126.1	Thailand	2013-08-01	RSVB	2013	2013	RSVA->RSVB	replication
KY328122.1	Thailand	2013-08-01	RSVB	2013	2013	RSVA->RSVB	replication
