submissionId	country	date	genotype	season	switchseason	switch	seltype
MZ448413.1	Kenya	2017-12-11	RSVB	2017	2018	RSVB->RSVA	evasion_l
MZ515973.1	Netherlands	2017-12-11	RSVA	2017-2018	2017-2018	RSVA->RSVB	evasion
PP376856.1	Netherlands	2017-12-11	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
OK299886.1	Netherlands	2017-12-12	RSVA	2017-2018	2017-2018	RSVA->RSVB	evasion
PP376299.1	Netherlands	2017-12-12	RSVA	2017-2018	2017-2018	RSVA->RSVB	evasion
MZ515817.1	Netherlands	2017-12-12	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ515713.1	Netherlands	2017-12-13	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
OK299862.1	Netherlands	2017-12-14	RSVA	2017-2018	2017-2018	RSVA->RSVB	evasion
PP376613.1	Netherlands	2017-12-14	RSVA	2017-2018	2017-2018	RSVA->RSVB	evasion
MZ515939.1	Netherlands	2017-12-14	RSVA	2017-2018	2017-2018	RSVA->RSVB	evasion
MZ515673.1	Netherlands	2017-12-14	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
OK299861.1	Netherlands	2017-12-15	RSVA	2017-2018	2017-2018	RSVA->RSVB	evasion
PP376330.1	Netherlands	2017-12-15	RSVA	2017-2018	2017-2018	RSVA->RSVB	evasion
MZ516108.1	Netherlands	2017-12-15	RSVA	2017-2018	2017-2018	RSVA->RSVB	evasion
MZ515806.1	Netherlands	2017-12-15	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
PP376938.1	Netherlands	2017-12-18	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ515793.1	Netherlands	2017-12-18	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ516082.1	Netherlands	2017-12-18	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
OK299785.1	Netherlands	2017-12-18	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ516043.1	Netherlands	2017-12-19	RSVA	2017-2018	2017-2018	RSVA->RSVB	evasion
MZ515603.1	Netherlands	2017-12-19	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
PP377304.1	Netherlands	2017-12-20	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ515554.1	Netherlands	2017-12-20	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ515615.1	Netherlands	2017-12-20	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
OK299619.1	Netherlands	2017-12-20	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
PP376700.1	Netherlands	2017-12-21	RSVA	2017-2018	2017-2018	RSVA->RSVB	evasion
