"name"	"date"	"continent"	"country"	"region"	"agestr"	"specimen"	"age"	"agecat"
"hRSV/A/England/195140828/2019"	2019-12-16	"Europe"	"United Kingdom"	"England"	"1 year"	""	1	"Preschool"
"hRSV/A/England/195160214/2019"	2019-12-16	"Europe"	"United Kingdom"	"England"	"2"	""	2	"Preschool"
"hRSV/A/England/195180517/2019"	2019-12-17	"Europe"	"United Kingdom"	"England"	"3"	""	3	"Preschool"
"hRSV/A/England/195180530/2019"	2019-12-18	"Europe"	"United Kingdom"	"England"	"25"	""	25	"Adults"
"hRSV/A/England/195180535/2019"	2019-12-17	"Europe"	"United Kingdom"	"England"	"79"	""	79	"Geriatrics"
"hRSV/A/England/195200142/2019"	2019-12-18	"Europe"	"United Kingdom"	"England"	"1"	""	1	"Preschool"
"hRSV/A/England/195200145/2019"	2019-12-20	"Europe"	"United Kingdom"	"England"	"1"	""	1	"Preschool"
"hRSV/A/England/195200782/2019"	2019-12-20	"Europe"	"United Kingdom"	"England"	"3"	""	3	"Preschool"
"hRSV/A/England/200100151/2019"	2019-12-23	"Europe"	"United Kingdom"	"England"	"1"	""	1	"Preschool"
"hRSV/A/England/200100153/2019"	2019-12-24	"Europe"	"United Kingdom"	"England"	"84"	""	84	"Geriatrics"
"hRSV/A/England/200181040/2019"	2019-12-30	"Europe"	"United Kingdom"	"England"	"29"	""	29	"Adults"
"hRSV/A/England/RE19003122/2019"	2019-11-12	"Europe"	"United Kingdom"	"England"	"6 months"	""	0.5	"Infants"
"hRSV/A/England/RE19003123/2019"	2019-11-17	"Europe"	"United Kingdom"	"England"	"6 months"	""	0.5	"Infants"
"hRSV/A/England/RE19003124/2019"	2019-11-30	"Europe"	"United Kingdom"	"England"	"2 months"	""	0.167	"Infants"
"hRSV/A/England/RE19003125/2019"	2019-11-13	"Europe"	"United Kingdom"	"England"	"6 months"	""	0.5	"Infants"
"hRSV/A/England/RE19003129/2019"	2019-12-01	"Europe"	"United Kingdom"	"England"	"1 months"	""	0.083	"Infants"
"hRSV/A/England/RE19003130/2019"	2019-12-04	"Europe"	"United Kingdom"	"England"	"1 months"	""	0.083	"Infants"
"hRSV/A/England/RE19003131/2019"	2019-10-21	"Europe"	"United Kingdom"	"England"	"2 months"	""	0.167	"Infants"
"hRSV/A/England/RE19003132/2019"	2019-11-23	"Europe"	"United Kingdom"	"England"	"1 months"	""	0.083	"Infants"
"hRSV/A/England/RE19003133/2019"	2019-11-25	"Europe"	"United Kingdom"	"England"	"0 months"	""	0	"Infants"
"hRSV/A/England/RE19003137/2019"	2019-12-04	"Europe"	"United Kingdom"	"England"	"1 months"	""	0.083	"Infants"
"hRSV/A/England/RE19003138/2019"	2019-12-02	"Europe"	"United Kingdom"	"England"	"2 months"	""	0.167	"Infants"
"hRSV/A/England/RE19003141/2019"	2019-12-05	"Europe"	"United Kingdom"	"England"	"4 months"	""	0.333	"Infants"
"hRSV/A/England/RE19003145/2019"	2019-11-29	"Europe"	"United Kingdom"	"England"	"2 months"	""	0.167	"Infants"
"hRSV/A/England/RE19003149/2019"	2019-11-22	"Europe"	"United Kingdom"	"England"	"1 months"	""	0.083	"Infants"
"hRSV/A/England/RE19003153/2019"	2019-11-22	"Europe"	"United Kingdom"	"England"	"0 months"	""	0	"Infants"
"hRSV/A/England/RE19003236/2019"	2019-12-05	"Europe"	"United Kingdom"	"England"	"6 months"	""	0.5	"Infants"
"hRSV/A/England/RE19003239/2019"	2019-12-10	"Europe"	"United Kingdom"	"England"	"4 months"	""	0.333	"Infants"
"hRSV/A/England/RE19003240/2019"	2019-12-12	"Europe"	"United Kingdom"	"England"	"1"	""	1	"Preschool"
"hRSV/A/England/RE19003243/2019"	2019-12-06	"Europe"	"United Kingdom"	"England"	"3 months"	""	0.25	"Infants"
"hRSV/A/England/RE19003255/2019"	2019-12-13	"Europe"	"United Kingdom"	"England"	"1"	""	1	"Preschool"
"hRSV/A/England/RE19003256/2019"	2019-12-17	"Europe"	"United Kingdom"	"England"	"6 months"	""	0.5	"Infants"
"hRSV/A/England/RE19003257/2019"	2019-12-16	"Europe"	"United Kingdom"	"England"	"2 months"	""	0.167	"Infants"
"hRSV/A/England/RE19003299/2019"	2019-12-18	"Europe"	"United Kingdom"	"England"	"6 months"	""	0.5	"Infants"
"hRSV/A/England/RE20000002/2019"	2019-12-17	"Europe"	"United Kingdom"	"England"	"3 months"	""	0.25	"Infants"
"hRSV/A/England/RE20000009/2019"	2019-12-29	"Europe"	"United Kingdom"	"England"	"0 months"	""	0	"Infants"
"hRSV/B/Spain/un-DP-SE01A-0135-V02/2019"	2019-12-30	"Europe"	"Spain"	NA	"209 days"	"Nasopharyngeal swab"	0.573	"Infants"
"hRSV/B/Netherlands/un-DP-UU02-0006-V01/2017"	2017-11-18	"Europe"	"Netherlands"	NA	"294 days"	"Nasopharyngeal swab"	0.805	"Infants"
"hRSV/B/Spain/un-DP-SE01A-0123-V02/2019"	2019-12-30	"Europe"	"Spain"	NA	"241 days"	"Nasopharyngeal swab"	0.66	"Infants"
"hRSV/B/United Kingdom/DP-OX02-8714-V01/2019"	2019-11-19	"Europe"	"United Kingdom"	NA	"335 days"	"Nasopharyngeal swab"	0.918	"Infants"
"hRSV/B/Netherlands/un-DP-UU02-0064-V01/2018"	2018-12-13	"Europe"	"Netherlands"	NA	"42 days"	"Nasopharyngeal swab"	0.115	"Infants"
