sample	target	n	MAFmean	MAFstd
Yale-RSV-0084	RSVB	28	0.2006295357142857	0.13147165377612127
Yale-RSV-0085	RSVA	27	0.24317762962962963	0.1291495804553024
Yale-RSV-0086	RSVB	24	0.23381608333333334	0.11976074343380991
Yale-RSV-0087	RSVB	30	0.17143146666666667	0.08985378778258689
Yale-RSV-0088	RSVA	1	0.08962300000000001	
Yale-RSV-0089	RSVB	19	0.22403263157894737	0.13924696306690756
Yale-RSV-0090	RSVB	24	0.239537625	0.15101376051432974
Yale-RSV-0091	RSVB	22	0.2069335	0.15184954746965199
Yale-RSV-0092	RSVB	19	0.25817857894736845	0.13431263648638567
Yale-RSV-0093	RSVB	17	0.2381245882352941	0.11574516737593131
Yale-RSV-0094	RSVB	36	0.19646850000000002	0.13324026288207974
Yale-RSV-0095	RSVB	19	0.2141016842105263	0.14346448874200837
Yale-RSV-0096	RSVB	21	0.25187252380952385	0.1432445409003844
Yale-RSV-0097	RSVA	37	0.24917137837837838	0.15658630973512327
Yale-RSV-0098	RSVB	13	0.2551586153846154	0.14956072387079572
Yale-RSV-0099	RSVB	27	0.20643285185185184	0.12797293026102274
Yale-RSV-0100	RSVB	33	0.22709939393939393	0.15188325193095262
Yale-RSV-0101	RSVB	35	0.1973240857142857	0.12910709546691926
Yale-RSV-0102	RSVB	13	0.23995261538461538	0.10824503244224688
Yale-RSV-0103	RSVB	49	0.2418054285714286	0.08705605704683429
Yale-RSV-0104	RSVB	2	0.3041095	0.20508712949500268
Yale-RSV-0105	RSVB	2	0.10587150000000001	0.06148929858520099
Yale-RSV-0106	RSVB	7	0.14965785714285712	0.09197274390533419
Yale-RSV-0107	RSVB	34	0.23512570588235293	0.13735558431368305
Yale-RSV-0108	RSVA	181	0.19828606629834253	0.12203878565406084
Yale-RSV-0108	RSVB	23	0.19765291304347826	0.12740587928810004
Yale-RSV-0109	RSVA	151	0.21567694039735102	0.13730116289540217
Yale-RSV-0109	RSVB	28	0.2012132142857143	0.12256371809324842
Yale-RSV-0110	RSVA	74	0.16654275675675675	0.10862240556049309
Yale-RSV-0110	RSVB	29	0.21251924137931036	0.12265741684919924
Yale-RSV-0112	RSVB	26	0.21797369230769228	0.11665790666346426
Yale-RSV-0114	RSVB	26	0.21803269230769232	0.14378365556286826
Yale-RSV-0115	RSVB	30	0.19384996666666668	0.12332816022457385
Yale-RSV-0116	RSVA	66	0.17658963636363637	0.11777463509061394
Yale-RSV-0116	RSVB	40	0.224110875	0.13487605487302842
Yale-RSV-0117	RSVB	31	0.26079167741935483	0.14670720816883018
Yale-RSV-0118	RSVA	31	0.24057245161290322	0.12951493039976475
Yale-RSV-0119	RSVB	11	0.2580340909090909	0.1225757831657253
Yale-RSV-0120	RSVB	17	0.21957358823529413	0.13718297370257856
Yale-RSV-0121	RSVA	30	0.24575740000000001	0.1399995947783791
Yale-RSV-0122	RSVB	27	0.2452196666666667	0.14155738736041892
Yale-RSV-0123	RSVB	34	0.22935691176470588	0.12131998175183141
Yale-RSV-0124	RSVB	31	0.2744956774193548	0.12691675683753953
Yale-RSV-0125	RSVB	29	0.23326441379310345	0.152937648631142
Yale-RSV-0126	RSVB	51	0.2039780980392157	0.13962314450366098
Yale-RSV-0127	RSVB	21	0.23715428571428573	0.1518610247486638
Yale-RSV-0128	RSVB	24	0.2466681666666667	0.1576518856690731
Yale-RSV-0129	RSVB	25	0.24770704	0.1596355048118682
