Yale-RSV-0277	RSVA	RSVA	2	37439053	33282295	33097320	507221	15071	15111	15222
Yale-RSV-0292	RSVA	RSVA	3	44713686	40664905	40494096	904522	14827	14837	15222
Yale-RSV-0294	RSVA	RSVA	2	31915274	28674736	28548002	433163	14347	14567	15222
Yale-RSV-0297	RSVA	RSVA	1	17984217	14361843	14305332	104743	13690	13860	15222
Yale-RSV-0307	RSVA	RSVA	3	47865401	40183030	39956052	895312	14826	15025	15222
Yale-RSV-0311	RSVA	RSVA	1	19078773	8990757	8954308	65737	13960	14267	15222
Yale-RSV-0314	RSVA	RSVA	1	29192724	22046837	21920632	165847	14425	14678	15222
Yale-RSV-0330	RSVA	RSVA	2	30274730	28185059	28023170	414737	14753	15084	15222
Yale-RSV-0346	RSVA	RSVA	1	26514283	20987531	20885566	155708	14831	15019	15222
Yale-RSV-0361	RSVA	RSVA	1	29377253	25813197	25696930	190629	14680	14844	15222
Yale-RSV-0367	RSVA	RSVA	2	46413736	38717427	38554848	577349	14776	14800	15222
Yale-RSV-0373	RSVA	RSVA	3	45124530	40975924	40812238	906518	14818	14862	15222
Yale-RSV-0419	RSVA	RSVA	2	36669022	32982968	32809512	510850	12346	13312	15222
Yale-RSV-0462	RSVA	RSVA	2	45166767	40597396	40377976	623975	12668	13444	15222
Yale-RSV-0469	RSVA	RSVA	2	42976354	39925458	39553968	621663	14314	14805	15222
Yale-RSV-0489	RSVA	RSVA	1	16179143	13729420	13652580	97594	14385	14605	15222
Yale-RSV-0491	RSVA	RSVA	1	17989002	14506072	14432004	102601	14395	14693	15222
Yale-RSV-0498	RSVA	RSVA	1	14885650	13076880	12994598	92996	14522	14726	15222
Yale-RSV-0509	RSVA	RSVA	1	12761912	11462358	11388488	81405	14524	14799	15222
Yale-RSV-0512	RSVA	RSVA	1	11912436	7780912	7742860	55055	14004	14103	15222
Yale-RSV-0515	RSVA	RSVA	1	13593172	12112411	12049092	85813	14308	14372	15222
Yale-RSV-0516	RSVA	RSVA	1	15052643	13410024	13334754	94818	14123	14186	15222
Yale-RSV-0526	RSVA	RSVA	1	14973571	12450102	12386310	88390	13666	14203	15222
Yale-RSV-0530	RSVA	RSVA	1	21036323	19205535	19095970	135149	14423	14608	15222
Yale-RSV-0533	RSVA	RSVA	1	15921213	14536173	14454916	102123	14536	14569	15222
Yale-RSV-0540	RSVA	RSVA	1	14219583	12956133	12851484	91405	14493	14775	15222
Yale-RSV-0553	RSVA	RSVA	1	10467782	8331543	8289644	58830	13308	13820	15222
Yale-RSV-0555	RSVA	RSVA	1	7724005	6291228	6262202	44790	13257	13677	15222
Yale-RSV-0557	RSVA	RSVA	1	10051622	9249538	9190700	65756	14532	14623	15222
Yale-RSV-0559	RSVA	RSVA	1	14908926	13053356	12978848	93367	14293	14448	15222
Yale-RSV-0565	RSVA	RSVA	1	11649640	10454807	10399800	75607	14492	14703	15222
Yale-RSV-0566	RSVA	RSVA	1	18231462	15193337	15101186	107067	14145	14471	15222
Yale-RSV-0571	RSVA	RSVA	1	13206930	10917664	10850310	78592	13973	14600	15222
Yale-RSV-0573	RSVA	RSVA	1	12255090	11253234	11169404	80364	14512	14666	15222
Yale-RSV-0574	RSVA	RSVA	1	10553629	9247764	9189766	65527	14260	14435	15222
Yale-RSV-0575	RSVA	RSVA	1	13625080	12453134	12394104	88160	14225	14504	15222
Yale-RSV-0004	RSVB	RSVB	1	18378917	14372977	14225080	106035	15099	15141	15225
Yale-RSV-0005	RSVB	RSVB	1	9429438	8777144	8732520	65616	14462	14955	15225
Yale-RSV-0009	RSVB	RSVB	1	6103692	5914322	5870300	43846	14683	14946	15225
Yale-RSV-0011	RSVB	RSVB	1	12839388	11163561	11101052	83002	14553	14962	15225
Yale-RSV-0012	RSVB	RSVB	1	18347361	16710284	16633704	123618	14602	15134	15225
Yale-RSV-0013	RSVB	RSVB	1	19816042	17316494	17212266	127610	14911	15069	15225
Yale-RSV-0014	RSVB	RSVB	1	21134186	19907872	19741166	147363	14994	15141	15225
Yale-RSV-0015	RSVB	RSVB	1	17695096	15870890	15781958	118107	14852	14933	15225
Yale-RSV-0016	RSVB	RSVB	1	15647638	11533521	11475684	85657	14713	14933	15225
Yale-RSV-0017	RSVB	RSVB	1	21366231	20267689	20130236	148759	14313	14626	15225
Yale-RSV-0018	RSVB	RSVB	1	19083719	16826949	16735192	124600	14736	14831	15225
Yale-RSV-0022	RSVB	RSVB	1	24587206	21720638	21603502	161133	15090	15199	15225
Yale-RSV-0023	RSVB	RSVB	1	25800532	24741844	24524658	182216	15190	15202	15225
Yale-RSV-0024	RSVB	RSVB	1	21722776	14827709	14735392	108959	13931	14449	15225
Yale-RSV-0025	RSVB	RSVB	1	16394264	14389436	14273494	106294	14710	14990	15225
Yale-RSV-0027	RSVB	RSVB	1	17146660	15580281	15462882	114749	14930	15169	15225
Yale-RSV-0028	RSVB	RSVB	1	22906273	20241458	20135276	149276	15036	15053	15225
Yale-RSV-0029	RSVB	RSVB	1	8933577	8503268	8458532	63186	14706	14997	15225
Yale-RSV-0031	RSVB	RSVB	1	24735547	23082969	22875510	169276	15155	15202	15225
Yale-RSV-0033	RSVB	RSVB	1	10168482	3428260	3404112	25004	12976	13386	15225
Yale-RSV-0034	RSVB	RSVB	1	18101716	16351059	16208182	120445	14815	15142	15225
Yale-RSV-0035	RSVB	RSVB	1	18604600	5595423	5569976	40535	12993	13627	15225
Yale-RSV-0036	RSVB	RSVB	1	6150550	3192818	3178090	23660	13948	14051	15225
Yale-RSV-0038	RSVB	RSVB	2	27872096	25928431	25696316	378386	15135	15160	15225
Yale-RSV-0039	RSVB	RSVB	1	20807534	14687962	14619334	107792	14121	14688	15225
Yale-RSV-0040	RSVB	RSVB	1	25845476	19628384	19548240	143464	13738	14058	15225
Yale-RSV-0041	RSVB	RSVB	1	21432341	20232996	20092918	148319	14792	15002	15225
Yale-RSV-0042	RSVB	RSVB	1	13004597	11378147	11310382	83346	14363	14806	15225
Yale-RSV-0044	RSVB	RSVB	1	21384371	20226478	20091146	148492	14705	14988	15225
Yale-RSV-0045	RSVB	RSVB	1	15951298	14619489	14541422	107364	14230	14662	15225
Yale-RSV-0048	RSVB	RSVB	1	28843161	25126012	24935650	183184	14781	15066	15225
Yale-RSV-0049	RSVB	RSVB	1	13161597	8548518	8505732	62874	13758	13992	15225
Yale-RSV-0051	RSVB	RSVB	1	11392057	10739776	10681574	79283	14545	14695	15225
Yale-RSV-0052	RSVB	RSVB	1	10757282	8874742	8831358	66376	13634	13900	15225
Yale-RSV-0054	RSVB	RSVB	1	19808195	6470603	6432056	46831	13253	13587	15225
Yale-RSV-0056	RSVB	RSVB	1	22923541	21511580	21341688	157749	15113	15140	15225
Yale-RSV-0057	RSVB	RSVB	1	20150121	19377081	19217518	141804	15085	15181	15225
Yale-RSV-0058	RSVB	RSVB	1	8657050	7349618	7313278	53623	14424	14457	15225
Yale-RSV-0059	RSVB	RSVB	1	19981073	18621022	18519942	136811	14994	15135	15225
Yale-RSV-0060	RSVB	RSVB	1	4795110	4446241	4406912	32379	14531	14907	15225
Yale-RSV-0063	RSVB	RSVB	1	6702921	4612587	4590266	33222	13770	14221	15225
Yale-RSV-0064	RSVB	RSVB	1	26023709	24221321	24060792	178017	14928	15198	15225
Yale-RSV-0065	RSVB	RSVB	1	18275856	16867905	16758150	123619	14687	14959	15225
Yale-RSV-0066	RSVB	RSVB	1	15631411	14518285	14440814	106457	14012	14459	15225
Yale-RSV-0067	RSVB	RSVB	1	15176041	14039953	13967188	102400	14284	14540	15225
Yale-RSV-0068	RSVB	RSVB	1	16051139	15193390	15089508	111365	15131	15156	15225
Yale-RSV-0070	RSVB	RSVB	1	26594755	25260479	25104140	184625	15009	15199	15225
Yale-RSV-0071	RSVB	RSVB	1	21386988	14935060	14833440	108969	13901	14184	15225
Yale-RSV-0073	RSVB	RSVB	1	13800949	4789171	4769474	34617	13822	13991	15225
Yale-RSV-0074	RSVB	RSVB	1	19652778	18847083	18709748	137429	14984	15188	15225
Yale-RSV-0079	RSVB	RSVB	1	10015866	995642	987502	7016	12463	13163	15225
Yale-RSV-0080	RSVB	RSVB	1	28245239	26050090	25905002	190335	14808	14927	15225
Yale-RSV-0081	RSVB	RSVB	1	8031986	7837400	7794840	58262	14377	14863	15225
Yale-RSV-0082	RSVB	RSVB	1	17181313	14989795	14905040	110704	14322	14775	15225
Yale-RSV-0083	RSVB	RSVB	1	16310753	5055823	5015138	35975	13034	13339	15225
Yale-RSV-0084	RSVB	RSVB	1	14008198	12890234	12781816	94348	14948	15139	15225
Yale-RSV-0086	RSVB	RSVB	1	19204765	18244721	18113328	133813	15136	15156	15225
Yale-RSV-0087	RSVB	RSVB	1	24885731	22874670	22754938	167980	15138	15172	15225
Yale-RSV-0089	RSVB	RSVB	1	19574013	16804967	16703188	123696	14735	15155	15225
Yale-RSV-0090	RSVB	RSVB	1	17718408	12300596	12244010	89757	14511	14563	15225
Yale-RSV-0091	RSVB	RSVB	2	29594812	28364394	28211790	416696	15188	15198	15225
Yale-RSV-0092	RSVB	RSVB	1	16410610	2380396	2364252	16971	13199	13691	15225
Yale-RSV-0094	RSVB	RSVB	1	15577015	14248690	14174876	104475	14931	15172	15225
Yale-RSV-0095	RSVB	RSVB	1	26277959	25116648	24978474	184279	14853	14990	15225
Yale-RSV-0096	RSVB	RSVB	2	27176144	26393776	26262690	392975	14769	15042	15225
Yale-RSV-0099	RSVB	RSVB	1	26907295	24868233	24749594	191139	14923	15033	15225
Yale-RSV-0100	RSVB	RSVB	1	26834756	18015738	17947020	137033	13917	14374	15225
Yale-RSV-0101	RSVB	RSVB	1	27337246	26030902	25800564	197643	15129	15141	15225
Yale-RSV-0107	RSVB	RSVB	1	14579006	1433336	1426900	10484	12874	13229	15225
Yale-RSV-0110	RSVB	RSVB	3	49740571	48323007	47964744	1106149	15141	15172	15225
Yale-RSV-0112	RSVB	RSVB	1	22871961	20382128	20288178	155943	14591	14976	15225
Yale-RSV-0114	RSVB	RSVB	1	26196889	24839534	24682408	187531	14152	14419	15225
Yale-RSV-0115	RSVB	RSVB	1	24700347	17403245	17287002	133008	14319	14623	15225
Yale-RSV-0116	RSVB	RSVB	2	35240746	34253616	33991202	521144	15090	15156	15225
Yale-RSV-0117	RSVB	RSVB	1	29884506	21558875	21479922	164704	14055	14499	15225
Yale-RSV-0122	RSVB	RSVB	1	12579733	10118899	10051444	78233	14558	14782	15225
Yale-RSV-0123	RSVB	RSVB	2	35434387	29464464	29293498	452606	15141	15142	15225
Yale-RSV-0124	RSVB	RSVB	1	11927518	618019	615228	4031	12414	13117	15225
Yale-RSV-0125	RSVB	RSVB	1	33339306	3154976	3140188	23089	13548	13819	15225
Yale-RSV-0126	RSVB	RSVB	2	41079308	39861681	39677268	608062	15140	15146	15225
Yale-RSV-0127	RSVB	RSVB	1	27621027	4038146	4021358	29853	13393	13597	15225
Yale-RSV-0128	RSVB	RSVB	1	25048296	7052804	7021326	53325	13477	14040	15225
Yale-RSV-0129	RSVB	RSVB	1	31199265	20862102	20750186	158957	14623	14910	15225
Yale-RSV-0130	RSVB	RSVB	1	6972100	5237227	5207022	39797	14385	14592	15225
Yale-RSV-0137	RSVB	RSVB	1	18572887	6840579	6810086	51056	12863	13738	15225
Yale-RSV-0138	RSVB	RSVB	1	25454641	24212846	24009294	182981	14989	15158	15225
Yale-RSV-0139	RSVB	RSVB	1	10063128	7535086	7476148	57241	14520	14935	15225
Yale-RSV-0141	RSVB	RSVB	1	13727953	12678116	12604924	97309	14826	14862	15225
Yale-RSV-0145	RSVB	RSVB	1	30430593	3328631	3317350	24423	12536	13062	15225
Yale-RSV-0146	RSVB	RSVB	2	36398647	34351602	34140280	516987	15051	15143	15225
Yale-RSV-0149	RSVB	RSVB	1	23647515	13710384	13662292	104043	14140	14352	15225
Yale-RSV-0150	RSVB	RSVB	1	24240873	11904770	11844360	90448	13472	13859	15225
Yale-RSV-0152	RSVB	RSVB	3	46686047	43474618	43192694	993043	15115	15135	15225
Yale-RSV-0153	RSVB	RSVB	2	35716218	31879177	31719474	483237	14800	14934	15225
Yale-RSV-0154	RSVB	RSVB	1	19061212	15692272	15594106	119493	14941	15090	15225
Yale-RSV-0155	RSVB	RSVB	1	10062220	9798694	9734060	74352	14851	15091	15225
Yale-RSV-0156	RSVB	RSVB	2	35149886	32161949	32025406	488896	15022	15199	15225
Yale-RSV-0157	RSVB	RSVB	1	25939358	23251863	23159516	177072	14818	14922	15225
Yale-RSV-0164	RSVB	RSVB	2	38972178	38005274	37748208	577059	14922	15135	15225
Yale-RSV-0166	RSVB	RSVB	1	30317315	4352183	4332868	32061	13394	14103	15225
Yale-RSV-0167	RSVB	RSVB	2	41986093	35277703	35075480	538186	15130	15134	15225
Yale-RSV-0169	RSVB	RSVB	1	18925866	18126255	18044502	137965	14789	14933	15225
Yale-RSV-0170	RSVB	RSVB	1	32101421	22923361	22800574	174512	14687	14781	15225
Yale-RSV-0171	RSVB	RSVB	1	21544110	10367913	10319116	78527	13791	14262	15225
Yale-RSV-0173	RSVB	RSVB	2	36513695	35138129	34839116	532757	15190	15194	15225
Yale-RSV-0176	RSVB	RSVB	3	55028932	51772184	51502118	1180185	15141	15156	15225
Yale-RSV-0177	RSVB	RSVB	1	20926815	18155374	18038686	138465	14962	15172	15225
Yale-RSV-0178	RSVB	RSVB	1	29462616	28015829	27916062	211288	14298	14775	15225
Yale-RSV-0180	RSVB	RSVB	2	30051031	28427818	28216892	430668	15164	15172	15225
Yale-RSV-0181	RSVB	RSVB	2	37066135	34786427	34628144	531139	15162	15171	15225
Yale-RSV-0183	RSVB	RSVB	1	29763488	25467282	25321498	194209	14991	15200	15225
Yale-RSV-0185	RSVB	RSVB	1	26904840	4818452	4789712	35642	13615	13904	15225
Yale-RSV-0186	RSVB	RSVB	1	11258839	7941072	7897162	60372	14273	14403	15225
Yale-RSV-0188	RSVB	RSVB	1	32991167	25563075	25403042	193135	14647	15095	15225
Yale-RSV-0193	RSVB	RSVB	1	19432479	17452877	17328038	134572	14675	14993	15225
Yale-RSV-0194	RSVB	RSVB	1	22355920	17612022	17534098	135528	14446	14618	15225
Yale-RSV-0195	RSVB	RSVB	2	30047310	28410141	28259724	440556	15116	15142	15225
Yale-RSV-0196	RSVB	RSVB	1	33497997	21933189	21839552	166417	13158	13455	15225
Yale-RSV-0197	RSVB	RSVB	1	17762079	6331592	6305778	47882	13647	13875	15225
Yale-RSV-0198	RSVB	RSVB	1	32725067	18371458	18284252	139856	13802	14109	15225
Yale-RSV-0199	RSVB	RSVB	1	27715203	26207533	26019792	202116	14891	15089	15225
Yale-RSV-0200	RSVB	RSVB	2	32171445	31334765	31131522	482872	14835	14971	15225
Yale-RSV-0201	RSVB	RSVB	1	20245070	14696912	14628026	112638	14063	14519	15225
Yale-RSV-0203	RSVB	RSVB	1	25152367	15512478	15451500	117718	14077	14206	15225
Yale-RSV-0204	RSVB	RSVB	2	32590158	31198660	31002760	481177	14927	15141	15225
Yale-RSV-0205	RSVB	RSVB	2	35801803	34523518	34274734	527637	14984	14986	15225
Yale-RSV-0206	RSVB	RSVB	1	34303776	21032742	20945142	160753	14599	14621	15225
Yale-RSV-0207	RSVB	RSVB	1	19070668	17845566	17753244	138653	15125	15193	15225
Yale-RSV-0209	RSVB	RSVB	2	33017530	31379899	31277298	480154	14316	14412	15225
Yale-RSV-0210	RSVB	RSVB	1	28317630	25468045	25306956	194456	14700	15140	15225
Yale-RSV-0211	RSVB	RSVB	1	20749951	18498816	18398022	142511	14299	14835	15225
Yale-RSV-0212	RSVB	RSVB	2	37394602	34940901	34713442	536104	14986	15139	15225
Yale-RSV-0213	RSVB	RSVB	1	18631978	12300409	12254504	93280	13376	13965	15225
Yale-RSV-0215	RSVB	RSVB	2	33882556	32309623	32013544	492775	15139	15149	15225
Yale-RSV-0217	RSVB	RSVB	1	26780772	24490554	24397408	187619	14584	14920	15225
Yale-RSV-0218	RSVB	RSVB	1	21629704	16831103	16722550	128488	14429	14886	15225
Yale-RSV-0219	RSVB	RSVB	2	38211452	29208239	29053430	446634	14245	14403	15225
Yale-RSV-0220	RSVB	RSVB	1	26859304	26304493	26143068	201342	14916	15113	15225
Yale-RSV-0223	RSVB	RSVB	1	23486994	14809287	14754784	112839	13794	14017	15225
Yale-RSV-0225	RSVB	RSVB	1	26534001	17638935	17532800	134608	13974	14277	15225
Yale-RSV-0226	RSVB	RSVB	1	24214497	21893731	21769340	168286	14863	14918	15225
Yale-RSV-0227	RSVB	RSVB	1	22719817	16757471	16684266	127954	13968	14297	15225
Yale-RSV-0229	RSVB	RSVB	1	25717089	23578153	23471740	179626	14932	15071	15225
Yale-RSV-0230	RSVB	RSVB	2	37045425	34670951	34448800	528037	14671	14717	15225
Yale-RSV-0233	RSVB	RSVB	1	25605437	23989159	23854546	182648	13921	14406	15225
Yale-RSV-0236	RSVB	RSVB	1	24127175	23588546	23511806	180000	14669	14922	15225
Yale-RSV-0238	RSVB	RSVB	3	47003261	44006183	43705704	1006716	15009	15193	15225
Yale-RSV-0239	RSVB	RSVB	2	35045888	32842757	32672262	499252	14738	14928	15225
Yale-RSV-0241	RSVB	RSVB	1	25302467	23643964	23478782	179695	14831	14960	15225
Yale-RSV-0242	RSVB	RSVB	1	17962023	8425050	8403984	63815	13130	13596	15225
Yale-RSV-0243	RSVB	RSVB	1	18534180	13036696	12966986	100184	14221	14411	15225
Yale-RSV-0246	RSVB	RSVB	1	16092565	14666842	14594250	111692	14135	14429	15225
Yale-RSV-0248	RSVB	RSVB	1	27448614	26227926	26111030	198520	14135	14438	15225
Yale-RSV-0249	RSVB	RSVB	1	18711633	12713375	12627418	95823	14262	14904	15225
Yale-RSV-0253	RSVB	RSVB	1	21658728	21166383	21069802	161723	14615	15055	15225
Yale-RSV-0255	RSVB	RSVB	2	32336752	29036569	28952704	446003	14325	14599	15225
Yale-RSV-0256	RSVB	RSVB	1	25458250	9410631	9320420	69702	12187	12632	15225
Yale-RSV-0257	RSVB	RSVB	2	30967786	29249819	29094866	447274	14891	14963	15225
Yale-RSV-0261	RSVB	RSVB	1	7346371	6577889	6553556	50475	13937	13979	15225
Yale-RSV-0263	RSVB	RSVB	1	31062137	20707062	20649818	157560	14157	14414	15225
Yale-RSV-0264	RSVB	RSVB	1	25277217	24337204	24255890	185866	14970	15138	15225
Yale-RSV-0265	RSVB	RSVB	1	17594757	13825614	13761288	105554	13860	14170	15225
Yale-RSV-0267	RSVB	RSVB	1	9775461	8091525	8064730	61823	14127	14550	15225
