sample	call	mashcall
Yale-RSV-0198-1		RSVB
Yale-RSV-0199-1		RSVB
Yale-RSV-0200-1		RSVB
Yale-RSV-0201-1		RSVB
Yale-RSV-0203-1		RSVB
Yale-RSV-0204-1		RSVB
Yale-RSV-0205-1		RSVB
Yale-RSV-0206-1		RSVB
Yale-RSV-0207-1		RSVB
Yale-RSV-0209-1		RSVB
Yale-RSV-0210-1		RSVB
Yale-RSV-0211-1		RSVB
Yale-RSV-0212-1		RSVB
Yale-RSV-0213-1		RSVB
Yale-RSV-0215-1		RSVB
Yale-RSV-0217-1		RSVB
Yale-RSV-0218-1		RSVB
Yale-RSV-0219-1		RSVB
Yale-RSV-0220-1		RSVB
Yale-RSV-0223-1		RSVB
Yale-RSV-0224-1		RSVB
Yale-RSV-0225-1		RSVB
Yale-RSV-0226-1		RSVB
Yale-RSV-0227-1		RSVB
Yale-RSV-0229-1		RSVB
Yale-RSV-0230-1		RSVB
Yale-RSV-0233-1		RSVB
Yale-RSV-0234-1		RSVB
Yale-RSV-0238-1		RSVB
Yale-RSV-0239-1		RSVB
Yale-RSV-0241-1		RSVB
Yale-RSV-0242-1		RSVB
Yale-RSV-0243-1		RSVB
Yale-RSV-0246-1		RSVB
Yale-RSV-0248-1		RSVB
Yale-RSV-0249-1		RSVB
Yale-RSV-0250-1		RSVB
Yale-RSV-0253-1		RSVB
Yale-RSV-0255-1		RSVB
Yale-RSV-0256-1		RSVB
Yale-RSV-0257-1		RSVB
Yale-RSV-0258-1		RSVB
Yale-RSV-0261-1		RSVB
Yale-RSV-0263-1		RSVB
Yale-RSV-0264-1		RSVB
Yale-RSV-0265-1		RSVB
Yale-RSV-0267-1		RSVB
Yale-RSV-0268-1		RSVB
Yale-RSV-0270-1		RSVB
Yale-RSV-0273-1		RSVB
Yale-RSV-0274-1		RSVB
Yale-RSV-0276-1		RSVB
Yale-RSV-0278-1		RSVB
Yale-RSV-0280-1		RSVB
Yale-RSV-0282-1		RSVB
Yale-RSV-0283-1		RSVB
Yale-RSV-0284-1		RSVB
Yale-RSV-0289-1		RSVB
Yale-RSV-0291-1		RSVB
Yale-RSV-0293-1		RSVB
Yale-RSV-0295-1		RSVB
Yale-RSV-0296-1		RSVB
Yale-RSV-0298-1		RSVB
Yale-RSV-0299-1		RSVB
Yale-RSV-0300-1		RSVB
Yale-RSV-0302-1		RSVB
Yale-RSV-0303-1		RSVB
Yale-RSV-0304-1		RSVB
Yale-RSV-0305-1		RSVB
Yale-RSV-0306-1		RSVB
Yale-RSV-0308-1		RSVB
Yale-RSV-0310-1		RSVB
Yale-RSV-0312-1		RSVB
Yale-RSV-0313-1		RSVB
Yale-RSV-0315-1		RSVB
Yale-RSV-0317-1		RSVB
Yale-RSV-0318-1		RSVB
Yale-RSV-0320-1		RSVB
Yale-RSV-0321-1		RSVB
Yale-RSV-0322-1		RSVB
Yale-RSV-0323-1		RSVB
Yale-RSV-0324-1		RSVB
Yale-RSV-0325-1		RSVB
Yale-RSV-0326-1		RSVB
Yale-RSV-0327-1		RSVB
Yale-RSV-0329-1		RSVB
Yale-RSV-0331-1		RSVB
Yale-RSV-0333-1		RSVB
Yale-RSV-0335-1		RSVB
Yale-RSV-0336-1		RSVB
Yale-RSV-0338-1		RSVB
Yale-RSV-0339-1		RSVB
Yale-RSV-0340-1		RSVB
Yale-RSV-0341-1		RSVB
Yale-RSV-0342-1		RSVB
Yale-RSV-0343-1		RSVB
Yale-RSV-0345-1		RSVB
Yale-RSV-0347-1		RSVB
Yale-RSV-0350-1		RSVB
Yale-RSV-0351-1		RSVB
Yale-RSV-0352-1		RSVB
Yale-RSV-0353-1		RSVB
Yale-RSV-0355-1		RSVB
Yale-RSV-0356-1		RSVB
Yale-RSV-0357-1		RSVB
Yale-RSV-0358-1		RSVB
Yale-RSV-0359-1		RSVB
Yale-RSV-0360-1		RSVB
Yale-RSV-0362-1		RSVB
Yale-RSV-0363-1		RSVB
Yale-RSV-0364-1		RSVB
Yale-RSV-0366-1		RSVB
Yale-RSV-0368-1		RSVB
Yale-RSV-0369-1		RSVB
Yale-RSV-0370-1		RSVB
Yale-RSV-0371-1		RSVB
Yale-RSV-0372-1		RSVB
Yale-RSV-0374-1		RSVB
Yale-RSV-0375-1		RSVB
Yale-RSV-0377-1		RSVB
Yale-RSV-0378-1		RSVB
Yale-RSV-0379-1		RSVB
Yale-RSV-0381-1		RSVB
Yale-RSV-0386-1		RSVB
Yale-RSV-0387-1		RSVB
Yale-RSV-0393-1		RSVB
Yale-RSV-0398-1		RSVB
Yale-RSV-0399-1		RSVB
Yale-RSV-0402-1		RSVB
Yale-RSV-0407-1		RSVB
Yale-RSV-0409-1		RSVB
Yale-RSV-0410-1		RSVB
Yale-RSV-0411-1		RSVB
Yale-RSV-0413-1		RSVB
Yale-RSV-0414-1		RSVB
Yale-RSV-0424-1		RSVB
Yale-RSV-0425-1		RSVB
Yale-RSV-0426-1		RSVB
Yale-RSV-0427-1		RSVB
Yale-RSV-0429-1		RSVB
Yale-RSV-0430-1		RSVB
Yale-RSV-0431-1		RSVB
Yale-RSV-0433-1		RSVB
Yale-RSV-0434-1		RSVB
Yale-RSV-0436-1		RSVB
Yale-RSV-0439-1		RSVB
Yale-RSV-0440-1		RSVB
Yale-RSV-0443-1		RSVB
Yale-RSV-0446-1		RSVB
Yale-RSV-0448-1		RSVB
Yale-RSV-0450-1		RSVB
Yale-RSV-0452-1		RSVB
Yale-RSV-0453-1		RSVB
Yale-RSV-0454-1		RSVB
Yale-RSV-0455-1		RSVB
Yale-RSV-0456-1		RSVB
Yale-RSV-0457-1		RSVB
Yale-RSV-0458-1		RSVB
Yale-RSV-0459-1		RSVB
Yale-RSV-0460-1		RSVB
Yale-RSV-0463-1		RSVB
Yale-RSV-0465-1		RSVB
Yale-RSV-0466-1		RSVB
Yale-RSV-0470-1		RSVB
Yale-RSV-0471-1		RSVB
Yale-RSV-0472-1		RSVB
Yale-RSV-0474-1		RSVB
Yale-RSV-0476-1		RSVB
Yale-RSV-0477-1		RSVB
Yale-RSV-0481-1		RSVB
Yale-RSV-0485-1		RSVB
Yale-RSV-0487-1		RSVB
Yale-RSV-0488-1		RSVB
Yale-RSV-0489-1		RSVB
Yale-RSV-0490-1		RSVB
Yale-RSV-0493-1		RSVB
Yale-RSV-0496-1		RSVB
Yale-RSV-0497-1		RSVB
Yale-RSV-0505-1		RSVB
Yale-RSV-0506-1		RSVB
Yale-RSV-0507-1		RSVB
Yale-RSV-0508-1		RSVB
Yale-RSV-0509-1		RSVB
Yale-RSV-0510-1		RSVB
Yale-RSV-0511-1		RSVB
Yale-RSV-0512-1		RSVB
Yale-RSV-0513-1		RSVB
Yale-RSV-0515-1		RSVB
Yale-RSV-0518-1		RSVB
Yale-RSV-0521-1		RSVB
Yale-RSV-0523-1		RSVB
Yale-RSV-0525-1		RSVB
Yale-RSV-0526-1		RSVB
Yale-RSV-0528-1		RSVB
Yale-RSV-0529-1		RSVB
Yale-RSV-0532-1		RSVB
Yale-RSV-0533-1		RSVB
Yale-RSV-0534-1		RSVB
Yale-RSV-0535-1		RSVB
Yale-RSV-0536-1		RSVB
Yale-RSV-0537-1		RSVB
Yale-RSV-0538-1		RSVB
Yale-RSV-0539-1		RSVB
Yale-RSV-0540-1		RSVB
Yale-RSV-0546-1		RSVB
Yale-RSV-0547-1		RSVB
Yale-RSV-0549-1		RSVB
Yale-RSV-0551-1		RSVB
Yale-RSV-0553-1		RSVB
Yale-RSV-0554-1		RSVB
Yale-RSV-0555-1		RSVB
Yale-RSV-0556-1		RSVB
Yale-RSV-0557-1		RSVB
Yale-RSV-0558-1		RSVB
Yale-RSV-0560-1		RSVB
Yale-RSV-0561-1		RSVB
Yale-RSV-0562-1		RSVB
Yale-RSV-0563-1		RSVB
Yale-RSV-0565-1		RSVB
Yale-RSV-0567-1		RSVB
Yale-RSV-0569-1		RSVB
Yale-RSV-0570-1		RSVB
Yale-RSV-0571-1		RSVB
Yale-RSV-0572-1		RSVB
Yale-RSV-0574-1		RSVB
Yale-RSV-0579-1		RSVB
Yale-RSV-0580-1		RSVB
Yale-RSV-0582-1		RSVB
Yale-RSV-0583-1		RSVB
Yale-RSV-0584-1		RSVB
Yale-RSV-0585-1		RSVB
Yale-RSV-0586-1		RSVB
Yale-RSV-0587-1		RSVB
Yale-RSV-0588-1		RSVB
Yale-RSV-0589-1		RSVB
Yale-RSV-0590-1		RSVB
Yale-RSV-0591-1		RSVB
Yale-RSV-0592-1		RSVB
Yale-RSV-0593-1		RSVB
Yale-RSV-0594-1		RSVB
Yale-RSV-0595-1		RSVB
Yale-RSV-0596-1		RSVB
Yale-RSV-0597-1		RSVB
Yale-RSV-0598-1		RSVB
Yale-RSV-0599-1		RSVB
Yale-RSV-0600-1		RSVB
Yale-RSV-0601-1		RSVB
Yale-RSV-0603-1		RSVB
Yale-RSV-0604-1		RSVB
Yale-RSV-0605-1		RSVB
Yale-RSV-0606-1		RSVB
Yale-RSV-0607-1		RSVB
Yale-RSV-0608-1		RSVB
Yale-RSV-0609-1		RSVB
Yale-RSV-0610-1		RSVB
Yale-RSV-0611-1		RSVB
Yale-RSV-0612-1		RSVB
Yale-RSV-0613-1		RSVB
Yale-RSV-0614-1		RSVB
Yale-RSV-0615-1		RSVB
Yale-RSV-0616-1		RSVB
Yale-RSV-0617-1		RSVB
Yale-RSV-0618-1		RSVB
Yale-RSV-0619-1		RSVB
Yale-RSV-0620-1		RSVB
Yale-RSV-0624-1		RSVB
Yale-RSV-0625-1		RSVB
Yale-RSV-0626-1		RSVB
Yale-RSV-0627-1		RSVB
Yale-RSV-0628-1		RSVB
Yale-RSV-0629-1		RSVB
Yale-RSV-0001-1		RSVA
Yale-RSV-0006-1		RSVA
Yale-RSV-0007-1		RSVA
Yale-RSV-0020-1		RSVA
Yale-RSV-0030-1		RSVA
Yale-RSV-0037-1		RSVA
Yale-RSV-0043-1		RSVA
Yale-RSV-0053-1		RSVA
Yale-RSV-0055-1		RSVA
Yale-RSV-0061-1		RSVA
Yale-RSV-0075-1		RSVA
Yale-RSV-0076-1		RSVA
Yale-RSV-0085-1		RSVA
Yale-RSV-0097-1		RSVA
Yale-RSV-0121-1		RSVA
Yale-RSV-0140-1		RSVA
Yale-RSV-0142-1		RSVA
Yale-RSV-0160-1		RSVA
Yale-RSV-0161-1		RSVA
Yale-RSV-0179-1		RSVA
Yale-RSV-0184-1		RSVA
Yale-RSV-0187-1		RSVA
Yale-RSV-0208-1		RSVA
Yale-RSV-0221-1		RSVA
Yale-RSV-0228-1		RSVA
Yale-RSV-0231-1		RSVA
Yale-RSV-0237-1		RSVA
Yale-RSV-0251-1		RSVA
Yale-RSV-0252-1		RSVA
Yale-RSV-0254-1		RSVA
Yale-RSV-0259-1		RSVA
Yale-RSV-0262-1		RSVA
Yale-RSV-0277-1		RSVA
Yale-RSV-0292-1		RSVA
Yale-RSV-0294-1		RSVA
Yale-RSV-0297-1		RSVA
Yale-RSV-0307-1		RSVA
Yale-RSV-0311-1		RSVA
Yale-RSV-0314-1		RSVA
Yale-RSV-0330-1		RSVA
Yale-RSV-0346-1		RSVA
Yale-RSV-0361-1		RSVA
Yale-RSV-0367-1		RSVA
Yale-RSV-0373-1		RSVA
Yale-RSV-0385-1		RSVA
Yale-RSV-0428-1		RSVA
Yale-RSV-0438-1		RSVA
Yale-RSV-0441-1		RSVA
Yale-RSV-0442-1		RSVA
Yale-RSV-0451-1		RSVA
Yale-RSV-0461-1		RSVA
Yale-RSV-0464-1		RSVA
Yale-RSV-0469-1		RSVA
Yale-RSV-0482-1		RSVA
Yale-RSV-0483-1		RSVA
Yale-RSV-0484-1		RSVA
Yale-RSV-0486-1		RSVA
Yale-RSV-0491-1		RSVA
Yale-RSV-0492-1		RSVA
Yale-RSV-0498-1		RSVA
Yale-RSV-0500-1		RSVA
Yale-RSV-0502-1		RSVA
Yale-RSV-0517-1		RSVA
Yale-RSV-0524-1		RSVA
Yale-RSV-0527-1		RSVA
Yale-RSV-0531-1		RSVA
Yale-RSV-0541-1		RSVA
Yale-RSV-0542-1		RSVA
Yale-RSV-0545-1		RSVA
Yale-RSV-0548-1		RSVA
Yale-RSV-0550-1		RSVA
Yale-RSV-0559-1		RSVA
Yale-RSV-0566-1		RSVA
Yale-RSV-0578-1		RSVA
Yale-RSV-0621-1		RSVA
Yale-RSV-0622-1		RSVA
Yale-RSV-0623-1		RSVA
