Yale-RSV-0001-1	RSVA	1	2355337	2270623	2247566	19757	14522	14681	15225
Yale-RSV-0005-1	RSVA	1	4164954	1775822	1739218	12907	10506	11509	15225
Yale-RSV-0006-1	RSVA	1	5784378	5696861	5636878	49940	14717	14874	15225
Yale-RSV-0007-1	RSVA	1	4302870	4222291	4156780	36949	14413	14573	15225
Yale-RSV-0008-1	RSVA	1	4172216	1114682	1096924	7881	10589	11297	15225
Yale-RSV-0019-1	RSVA	1	2401179	394047	380928	2658	5585	6234	15225
Yale-RSV-0020-1	RSVA	1	6180732	6074166	5961230	52772	14754	15144	15225
Yale-RSV-0021-1	RSVA	1	192655	127330	127158	1033	2869	3405	15225
Yale-RSV-0026-1	RSVA	1	5189681	4513096	4472420	37688	14832	14939	15225
Yale-RSV-0030-1	RSVA	1	4854681	4652315	4558758	40465	14769	15149	15225
Yale-RSV-0033-1	RSVA	1	1690872	421163	412274	3014	10615	11433	15225
Yale-RSV-0035-1	RSVA	1	4029582	665977	653060	4823	10527	11439	15225
Yale-RSV-0037-1	RSVA	1	3504742	2457817	2442220	21380	14234	14288	15225
Yale-RSV-0039-1	RSVA	1	8288399	3766722	3687748	27355	11577	12271	15225
Yale-RSV-0043-1	RSVA	1	3758157	3654336	3608900	31752	14555	14825	15225
Yale-RSV-0045-1	RSVA	1	4856004	2584884	2525102	18712	11894	12477	15225
Yale-RSV-0047-1	RSVA	1	3879656	2111985	2061058	15154	11616	12378	15225
Yale-RSV-0049-1	RSVA	1	4739838	1883796	1833652	13320	12116	12650	15225
Yale-RSV-0051-1	RSVA	1	3337881	1763003	1719602	12661	11688	12436	15225
Yale-RSV-0052-1	RSVA	1	5103534	2720658	2669176	19181	11576	12220	15225
Yale-RSV-0053-1	RSVA	1	4897223	4861929	4811346	42160	14408	14439	15225
Yale-RSV-0055-1	RSVA	1	8875612	8483507	8362870	73488	14565	14853	15225
Yale-RSV-0061-1	RSVA	1	3477611	3272557	3230720	28157	14677	14759	15225
