Yale-RSV-0077-1	RSVB	1	3720194	328608	327296	2658	12687	13514	15225
Yale-RSV-0079-1	RSVB	1	6046263	832174	829692	6920	13355	13750	15225
Yale-RSV-0080-1	RSVB	1	8469081	8327717	8283290	71968	14882	15135	15225
Yale-RSV-0081-1	RSVB	1	2662841	2641796	2627652	22910	15027	15146	15225
Yale-RSV-0082-1	RSVB	1	2148572	2051581	2030102	17668	15031	15134	15225
Yale-RSV-0083-1	RSVB	1	4489813	2636545	2627184	22504	14325	14388	15225
Yale-RSV-0084-1	RSVB	1	4217693	3935839	3896256	33928	15128	15133	15225
Yale-RSV-0086-1	RSVB	1	8576248	8458328	8349290	72914	15128	15172	15225
Yale-RSV-0087-1	RSVB	1	6116115	5934937	5877638	51444	15128	15158	15225
Yale-RSV-0089-1	RSVB	1	8434841	7515077	7388696	64593	15131	15135	15225
Yale-RSV-0090-1	RSVB	1	8164837	6151305	6126088	53242	15133	15137	15225
Yale-RSV-0091-1	RSVB	1	7717413	7562733	7482798	65512	15128	15156	15225
Yale-RSV-0092-1	RSVB	1	589666	187355	183490	1529	13494	14958	15225
Yale-RSV-0093-1	RSVB	1	5175987	1106734	1103634	9334	14047	14501	15225
Yale-RSV-0094-1	RSVB	1	3291359	3150927	3119092	27357	15128	15173	15225
