Yale-RSV-0237	RSVA	1	25289177	18448200	18328470	141577	14468	14951	15222
Yale-RSV-0241	RSVA	1	25191862	11174882	11003258	71623	11560	12089	15222
Yale-RSV-0244	RSVA	2	37514286	28949682	28837088	438319	15008	15036	15222
Yale-RSV-0251	RSVA	1	27825613	24470526	24357290	189719	14702	14869	15222
Yale-RSV-0252	RSVA	1	19273221	16787522	16705792	129311	14348	14966	15222
Yale-RSV-0254	RSVA	2	36165228	32890448	32746702	502723	14666	14800	15222
Yale-RSV-0255	RSVA	1	32307722	12773974	12618704	84848	10982	11629	15222
Yale-RSV-0258	RSVA	1	21586752	14417037	14306414	102877	14774	15018	15222
Yale-RSV-0259	RSVA	1	23813497	19896083	19800064	153363	14555	14958	15222
Yale-RSV-0261	RSVA	1	7338149	2980200	2942502	19801	10832	11385	15222
Yale-RSV-0262	RSVA	2	31804449	28053652	27894762	430852	14716	15074	15222
Yale-RSV-0264	RSVA	1	25246109	11149054	11003084	72293	11744	12529	15222
Yale-RSV-0273	RSVA	1	34204939	15332426	15108944	98769	9081	10727	15222
Yale-RSV-0277	RSVA	2	37439053	33282295	33097320	507221	15071	15111	15222
Yale-RSV-0287	RSVA	1	3031970	1693868	1656928	11120	2564	2963	15222
Yale-RSV-0289	RSVA	1	8339046	2121701	2084388	12135	10572	10878	15222
Yale-RSV-0290	RSVA	1	3407931	320115	319930	1373	1456	2028	15222
Yale-RSV-0292	RSVA	3	44713686	40664905	40494096	904522	14827	14837	15222
Yale-RSV-0294	RSVA	2	31915274	28674736	28548002	433163	14347	14567	15222
Yale-RSV-0297	RSVA	1	17984217	14361843	14305332	104743	13690	13860	15222
Yale-RSV-0299	RSVA	1	35298388	14582745	14355674	91361	11809	12487	15222
Yale-RSV-0307	RSVA	3	47865401	40183030	39956052	895312	14826	15025	15222
Yale-RSV-0310	RSVA	1	55519716	23247503	22916758	147521	11913	12952	15222
Yale-RSV-0311	RSVA	1	19078773	8990757	8954308	65737	13960	14267	15222
Yale-RSV-0313	RSVA	1	46285904	20250054	19913800	126729	12050	12720	15222
Yale-RSV-0314	RSVA	1	29192724	22046837	21920632	165847	14425	14678	15222
Yale-RSV-0317	RSVA	1	47783569	21331023	20982306	133983	12047	12646	15222
